,Brand,Original_price,Discount_price,Camera,Pixels,WiFi Connectivity,Discount,Ratings
293,Fourbrother,"19,999","₹4,999",Fourbrother CameraWiFi Camera,,Yes,75,3.4
294,Canon,,,DSLR Camera,20,Yes,,4.1
295,SONY,"2,14,990","₹1,72,987",Mirrorless Camera,12,Yes,19,4.3
296,Canon,"92,995","₹79,990",Mirrorless Camera,24,Yes,13,4.6
297,Canon,"97,995","₹87,990",Mirrorless Camera,24,No,10,4.6
298,Samar,"4,000","₹1,999",,,No,50,
299,Qaz,"3,999","₹1,187",,12,No,70,2.4
300,Canon,"94,995","₹70,008",Mirrorless Camera,26,Yes,26,4.4
301,NIKON,"1,06,495","₹89,990",Mirrorless Camera,21,Yes,15,4.7
302,Qaz,"3,999","₹1,249",Sports Camera,12,No,68,4
303,BSK,"5,100","₹1,617",Action CameraAction Camera,16,No,68,
304,VOLTAC,"4,999","₹1,999",,12,No,60,3.1
305,Avyana,"1,999","₹1,199",,12,No,40,2.8
306,Mabron,"7,999","₹3,999",Dashboard Camera,2,No,50,
307,Swa,"8,999","₹3,319",Drone Camera,,No,63,
308,THEFNX,"5,500","₹1,699",Action CameraWiFi Camera,16,Yes,69,
309,CALLIE,"4,500","₹1,614",,30,No,64,2.7
310,Swa,"9,850","₹3,419",,,No,65,
311,VOLTAC,"4,999",₹899,WIFI Camera,8,No,82,3
312,Bzrqx,"2,999",₹759,,12,Yes,74,3.4
313,CASON,"12,995","₹7,695",Action Camera,24,No,40,3.8
314,SIOVS,"2,899",₹699,,12,No,75,
315,NIKON,"3,43,995","₹2,89,990",DSLR Camera,45,Yes,15,4.6
316,Canon,"1,19,995","₹95,190",Mirrorless Camera,24,Yes,20,4.6
317,Canon,"64,995","₹45,990",Mirrorless Camera,24,Yes,29,4.4
318,Elevea,"7,000","₹1,274",,16,No,81,2.8
319,Swa,"10,299","₹3,333",,,No,67,
320,Canon,"92,995","₹79,990",Mirrorless Camera,24,Yes,13,4.6
321,Canon,"97,995","₹87,990",Mirrorless Camera,24,No,10,4.6
322,BNK,"4,000","₹1,241",,1080,No,68,
323,Drone,"9,999","₹2,999",,,No,70,
324,Swa,"8,999","₹2,799",,,No,68,
325,IMPLY,"2,485","₹1,249",,12,No,49,2
326,Canon,"94,995","₹70,008",Mirrorless Camera,26,Yes,26,4.4
327,IC,"2,200","₹1,529",Spy Camera,2,Yes,30,3.6
328,NIKON,"2,21,99","₹2,01,599",Mirrorless Camera,25,Yes,59,
329,KOOLCRAFTS,"7,000","₹1,614",,16,Yes,76,3
330,Drone,"9,999","₹2,999",with Camera,,No,70,
331,proultim8,"1,599",₹427,,,No,73,3.9
332,TFG,"3,999","₹1,210",Action CameraSport Camera,12,No,69,3
333,Drone,"9,999","₹2,999",,,No,70,
334,Swa,"8,999","₹2,779",,,No,69,
335,Spenco,"9,999","₹2,279",WiFi Camera,,Yes,77,
336,Canon,"1,19,995","₹95,190",Mirrorless Camera,24,Yes,20,4.6
337,AD,"4,999","₹1,899",Baby CameraAction Camera,12,No,62,
338,DRONE,"9,999","₹2,499",WiFi Camera,,Yes,75,
339,IC,"2,200","₹1,529",Spy Camera,2,Yes,30,3.6
340,Canon,"64,995","₹45,990",Mirrorless Camera,24,Yes,29,4.4
341,Canon,"92,995","₹79,990",Mirrorless Camera,24,Yes,13,4.6
342,Canon,,,DSLR Camera,20,Yes,,4.1
343,Drone,"9,999","₹2,999",,,No,70,
344,TFG,"4,999","₹1,249",,12,No,75,
345,KOOLCRAFTS,"7,000","₹1,614",,16,Yes,76,3
346,Canon,"97,995","₹87,990",Mirrorless Camera,24,No,10,4.6
347,Canon,"94,995","₹70,008",Mirrorless Camera,26,Yes,26,4.4
348,Drone,"9,999","₹2,999",with Camera,,No,70,
349,proultim8,"1,599",₹427,,,No,73,3.9
350,CASON,"12,995","₹7,695",Action Camera,24,No,40,3.8
351,SrO,"6,000","₹2,348",,1080,No,60,3.6
352,NIKON,"2,21,99","₹2,01,599",Mirrorless Camera,25,Yes,59,
353,SONY,"1,72,990","₹1,53,990",Mirrorless Camera,27,Yes,10,
354,DRONE,"9,999","₹2,499",Dual Camera,,No,75,
355,DRONE,"9,999","₹2,499",WiFi Camera,,Yes,75,
356,Elevea,"7,000","₹1,274",,16,No,81,2.8
357,TFG,"3,999","₹1,210",Action CameraSport Camera,12,No,69,3
358,SJCAM,"4,400","₹2,549",,5,No,42,4.3
359,Clubics,"9,999","₹2,999",WiFi Camera,,Yes,70,3.4
